Source Folder ID,File Name,Mime Type,File ID,Web View Link,Direct Download Link,Created,Last Updated,Size (Bytes)
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_,1. Treasure.MOV,video/quicktime,1811hDODTEPjN-Vmhz6kI71pQ5z-DS-6A,https://drive.google.com/file/d/1811hDODTEPjN-Vmhz6kI71pQ5z-DS-6A/view,https://drive.google.com/uc?export=download&id=1811hDODTEPjN-Vmhz6kI71pQ5z-DS-6A,11/15/2025,11/17/2025,52494413
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_,Don’t Stop Believing .MOV,video/quicktime,1VYV0t3F8V-zyJ2-o--eC0xr2TNqwRqh_,https://drive.google.com/file/d/1VYV0t3F8V-zyJ2-o--eC0xr2TNqwRqh_/view,https://drive.google.com/uc?export=download&id=1VYV0t3F8V-zyJ2-o--eC0xr2TNqwRqh_,11/14/2025,11/17/2025,112576784
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_,3. Sax Solo.MOV,video/quicktime,1SXmubNiLczQO1OVF_QLLVET9cIVJMQnk,https://drive.google.com/file/d/1SXmubNiLczQO1OVF_QLLVET9cIVJMQnk/view,https://drive.google.com/uc?export=download&id=1SXmubNiLczQO1OVF_QLLVET9cIVJMQnk,4/28/2023,4/28/2023,129384167
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_,11. Piano Solo,video/quicktime,1yLEQggCPZ0sFvWkJWQUj5OBZHrNgd3h0,https://drive.google.com/file/d/1yLEQggCPZ0sFvWkJWQUj5OBZHrNgd3h0/view,https://drive.google.com/uc?export=download&id=1yLEQggCPZ0sFvWkJWQUj5OBZHrNgd3h0,1/26/2022,4/28/2023,71952318
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_,10. Mr Magic.mov,video/quicktime,1GrWW0jyQ_J9zy7To6Qu9kEh4VH-lfMQv,https://drive.google.com/file/d/1GrWW0jyQ_J9zy7To6Qu9kEh4VH-lfMQv/view,https://drive.google.com/uc?export=download&id=1GrWW0jyQ_J9zy7To6Qu9kEh4VH-lfMQv,4/28/2023,4/28/2023,205567786
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_,8. California Love.MOV,video/quicktime,1tfZn3bmjw_kFcuardWWRO-UnGD1AqNmn,https://drive.google.com/file/d/1tfZn3bmjw_kFcuardWWRO-UnGD1AqNmn/view,https://drive.google.com/uc?export=download&id=1tfZn3bmjw_kFcuardWWRO-UnGD1AqNmn,4/28/2023,4/28/2023,205691818
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_,7. Shout.MOV,video/quicktime,14ONKFgdeUawfZTDXlcxZpWTD0ck1Qo07,https://drive.google.com/file/d/14ONKFgdeUawfZTDXlcxZpWTD0ck1Qo07/view,https://drive.google.com/uc?export=download&id=14ONKFgdeUawfZTDXlcxZpWTD0ck1Qo07,4/28/2023,4/28/2023,254367505
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_,6. Fly Me To The Moon.MOV,video/quicktime,1gdGoMENIDRW0HCQKk-JxL4k22_82yhIg,https://drive.google.com/file/d/1gdGoMENIDRW0HCQKk-JxL4k22_82yhIg/view,https://drive.google.com/uc?export=download&id=1gdGoMENIDRW0HCQKk-JxL4k22_82yhIg,4/28/2023,4/28/2023,177081817
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_,5. Superstition Sax Solo.mov,video/quicktime,1v_oJ46Ip8B99LjT9h87myvtOxU49Li5Z,https://drive.google.com/file/d/1v_oJ46Ip8B99LjT9h87myvtOxU49Li5Z/view,https://drive.google.com/uc?export=download&id=1v_oJ46Ip8B99LjT9h87myvtOxU49Li5Z,4/28/2023,4/28/2023,112548798
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_,4. Tennessee Whiskey,video/quicktime,1oyHIqJ55NKgBvTzY1QoU6obpcXpjQD3n,https://drive.google.com/file/d/1oyHIqJ55NKgBvTzY1QoU6obpcXpjQD3n/view,https://drive.google.com/uc?export=download&id=1oyHIqJ55NKgBvTzY1QoU6obpcXpjQD3n,4/28/2023,4/28/2023,105858225
