Source Folder ID	File Name	Mime Type	File ID	Web View Link	Direct Download Link	Created	Last Updated	Size (Bytes)	Width (px)	Height (px)	Orientation
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	At Last.MP4	video/mp4	1nsws69Xo_YHksK0C4HiyK5fhWlWqxfrw	https://drive.google.com/file/d/1nsws69Xo_YHksK0C4HiyK5fhWlWqxfrw/view	https://drive.google.com/uc?export=download&id=1nsws69Xo_YHksK0C4HiyK5fhWlWqxfrw	2025-11-15T09:34:52.394Z	2025-11-17T19:06:07.494Z	14772449	720	1280	Portrait
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	1 Shout.mov	video/quicktime	1_0L-PvR1ZQG82Q38WUraOdEe170UqoZL	https://drive.google.com/file/d/1_0L-PvR1ZQG82Q38WUraOdEe170UqoZL/view	https://drive.google.com/uc?export=download&id=1_0L-PvR1ZQG82Q38WUraOdEe170UqoZL	2025-11-15T09:30:30.635Z	2025-11-17T19:05:44.931Z	178837105	1080	1920	Portrait
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	1. Treasure.MOV	video/quicktime	1811hDODTEPjN-Vmhz6kI71pQ5z-DS-6A	https://drive.google.com/file/d/1811hDODTEPjN-Vmhz6kI71pQ5z-DS-6A/view	https://drive.google.com/uc?export=download&id=1811hDODTEPjN-Vmhz6kI71pQ5z-DS-6A	2025-11-15T09:28:11.960Z	2025-11-17T19:05:11.915Z	52494413	1080	1920	Portrait
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	Don’t Stop Believing .MOV	video/quicktime	1VYV0t3F8V-zyJ2-o--eC0xr2TNqwRqh_	https://drive.google.com/file/d/1VYV0t3F8V-zyJ2-o--eC0xr2TNqwRqh_/view	https://drive.google.com/uc?export=download&id=1VYV0t3F8V-zyJ2-o--eC0xr2TNqwRqh_	2025-11-14T20:19:10.516Z	2025-11-17T19:04:57.350Z	112576784	1080	1920	Portrait
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	3. Sax Solo.MOV	video/quicktime	1SXmubNiLczQO1OVF_QLLVET9cIVJMQnk	https://drive.google.com/file/d/1SXmubNiLczQO1OVF_QLLVET9cIVJMQnk/view	https://drive.google.com/uc?export=download&id=1SXmubNiLczQO1OVF_QLLVET9cIVJMQnk	2023-04-28T21:04:55.323Z	2023-04-28T23:09:48.942Z	129384167	1920	1080	Landscape
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	11. Piano Solo	video/quicktime	1yLEQggCPZ0sFvWkJWQUj5OBZHrNgd3h0	https://drive.google.com/file/d/1yLEQggCPZ0sFvWkJWQUj5OBZHrNgd3h0/view	https://drive.google.com/uc?export=download&id=1yLEQggCPZ0sFvWkJWQUj5OBZHrNgd3h0	2022-01-26T21:35:17.500Z	2023-04-28T23:09:27.502Z	71952318	1920	1080	Landscape
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	10. Mr Magic.mov	video/quicktime	1GrWW0jyQ_J9zy7To6Qu9kEh4VH-lfMQv	https://drive.google.com/file/d/1GrWW0jyQ_J9zy7To6Qu9kEh4VH-lfMQv/view	https://drive.google.com/uc?export=download&id=1GrWW0jyQ_J9zy7To6Qu9kEh4VH-lfMQv	2023-04-28T20:36:40.010Z	2023-04-28T23:09:09.328Z	205567786	1920	1080	Landscape
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	8. California Love.MOV	video/quicktime	1tfZn3bmjw_kFcuardWWRO-UnGD1AqNmn	https://drive.google.com/file/d/1tfZn3bmjw_kFcuardWWRO-UnGD1AqNmn/view	https://drive.google.com/uc?export=download&id=1tfZn3bmjw_kFcuardWWRO-UnGD1AqNmn	2023-04-28T21:15:34.390Z	2023-04-28T23:08:34.849Z	205691818	1920	1080	Landscape
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	7. Shout.MOV	video/quicktime	14ONKFgdeUawfZTDXlcxZpWTD0ck1Qo07	https://drive.google.com/file/d/14ONKFgdeUawfZTDXlcxZpWTD0ck1Qo07/view	https://drive.google.com/uc?export=download&id=14ONKFgdeUawfZTDXlcxZpWTD0ck1Qo07	2023-04-28T21:27:37.262Z	2023-04-28T23:08:04.639Z	254367505	1920	1080	Landscape
1dMUkxACqfzxeix8hdA5UA3XJuOOeuxK_	6. Fly Me To The Moon.MOV	video/quicktime	1gdGoMENIDRW0HCQKk-JxL4k22_82yhIg	https://drive.google.com/file/d/1gdGoMENIDRW0HCQKk-JxL4k22_82yhIg/view	https://drive.google.com/uc?export=download&id=1gdGoMENIDRW0HCQKk-JxL4k22_82yhIg	2023-04-28T20:27:03.927Z	2023-04-28T23:07:42.771Z	177081817	1920	1080	Landscape
